Date,Track,Artist,album,Link
140206,GaG,Kaveh,single,https://open.spotify.com/album/5gUfbjkUrXEGkTkMYmrkhb
140206,Road,Kaveh,single,https://open.spotify.com/album/3seZCfy4hWScaFXu9RGP6e
140206,OD,"Arma, Sepehr Khalse, Young Sudden",single,https://open.spotify.com/album/1MQaimq0y6OsHMVlyqxXOM
140206,Bala Paeen,"Siohash, Kusha, Sepehr Khalse",single,https://open.spotify.com/album/2HT23IgZHI5TywwyGlVbT6
140206,Dashte Parvaneha,"Koorosh, Sogand",single,https://open.spotify.com/album/42meZEkpar72XfB5zyefCp
140206,Dire Alan,"Siohash, Kusha, rayan",single,https://open.spotify.com/album/32biFhEbiouAgjGpoWQA9B
140206,Baby Blue,"Siohash, Kusha, Lilmov",single,https://open.spotify.com/album/7LRyA5HpPOi7tgVFfm9MWx
140206,B2B,"Siohash, Kusha, Paya",single,https://open.spotify.com/album/3OS1x6ZRNJK04EttuGDw7x
140206,Anything I wanna,Kusha,No Limit,https://open.spotify.com/track/2Rlq0Yv4hyDvtd61c6YgCp
140206,Lust Love,Kusha,No Limit,https://open.spotify.com/track/7qGiJcxTumg4Xp1x2FGA7T
140206,Ghetto Boy,Kusha,No Limit,https://open.spotify.com/track/2uUzRt0mlh74Kz0fYGbS4w
140206,How Hard,Kusha,No Limit,https://open.spotify.com/track/2YOzuJNNDinZFJg680Ipqm
140206,Nairobi Yetu,Kusha,No Limit,https://open.spotify.com/track/34YG6vI7TSLTvItUvq5Gs0
140206,Nimetoka Chini,Kusha,No Limit,https://open.spotify.com/track/3d4Q9ICzn6JO8KnD2ur67P
140206,No Limit,Kusha,No Limit,https://open.spotify.com/track/58bGXsRMLSS41gZ7HrYOvo
140206,Profound,Kusha,No Limit,https://open.spotify.com/track/7lrTM69lGbjf9iBtbWQ8vG
140206,Spacex,"Siohash, Kusha, Kayo",Apollo 11,https://open.spotify.com/track/0njsbpxIqavHOk8HPeJnCF
140206,Novacaine,"Siohash, Kusha, Kayo",Apollo 11,https://open.spotify.com/track/1obAdgEgs6VrXNQBiS4pck
140206,Tabestoona,"Siohash, Kusha, Catchybeatz",Apollo 11,https://open.spotify.com/track/2wnyPNqBx3qeRZMqmrlkyu
140206,Frontline,"Siohash, Kusha, Kayo, Chvrsi",Apollo 11,https://open.spotify.com/track/5TTPJw620leHbON93tLNjH
140206,Che Farghi Dare,"Siohash, Kusha",Apollo 11,https://open.spotify.com/track/5SROjf6oD0FatB7DcgFjwG
140206,Dire Alan,"Siohash, Kusha, rayan",Apollo 11,https://open.spotify.com/track/5KrO3rdAkvcAY35EEBf5iY
140206,Baby Blue,"Siohash, Kusha, Kayo, Lilmov",Apollo 11,https://open.spotify.com/track/3uXvCEz2ZMLgbRJTwEkgdJ
